																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
Spectrum	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	
																																																																																																																																																																																																									
																																																																																																																																																																																																									
Mass	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
[u]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	
																																																																																																																																																																																																									
																																																																																																																																																																																																									
231.0205	280.0	146.0	133.0	120.0	106.0	80.0	93.0	93.0	240.0	213.0	146.0	106.0	213.0	13.0	160.0	133.0	106.0	186.0	200.0	120.0	240.0	120.0	40.0	106.0	106.0	186.0	53.0	120.0	226.0	173.0	146.0	53.0	93.0	93.0	133.0	293.0	213.0	280.0	146.0	346.0	240.0	66.0	133.0	40.0	120.0	386.0	226.0	200.0	186.0	133.0	186.0	146.0	146.0	266.0	160.0	93.0	93.0	106.0	146.0	93.0	226.0	213.0	213.0	80.0	146.0	120.0	213.0	133.0	146.0	66.0	200.0	173.0	173.0	213.0	106.0	40.0	133.0	213.0	40.0	253.0	120.0	133.0	200.0	200.0	266.0	120.0	93.0	240.0	26.0	266.0	133.0	146.0	160.0	160.0	133.0	80.0	93.0	66.0	93.0	80.0	120.0	106.0	93.0	66.0	160.0	200.0	160.0	146.0	146.0	200.0	160.0	40.0	226.0	66.0	53.0	80.0	133.0	133.0	26.0	173.0	53.0	80.0	133.0	133.0	173.0	13.0	146.0	120.0	173.0	53.0	106.0	146.0	120.0	133.0	133.0	173.0	173.0	133.0	66.0	93.0	106.0	266.0	186.0	173.0	253.0	120.0	53.0	53.0	26.0	146.0	240.0	146.0	240.0	120.0	53.0	66.0	160.0	106.0	173.0	106.0	200.0	226.0	133.0	80.0	120.0	200.0	106.0	253.0	266.0	93.0	200.0	66.0	133.0	106.0	120.0	40.0	146.0	146.0	266.0	133.0	66.0	120.0	200.0	146.0	120.0	146.0	160.0	160.0	133.0	93.0	120.0	93.0	120.0	93.0	133.0	146.0	226.0	80.0	93.0	133.0	
231.0282	160.0	186.0	146.0	253.0	53.0	93.0	173.0	93.0	186.0	173.0	120.0	80.0	66.0	160.0	106.0	146.0	106.0	146.0	66.0	106.0	93.0	80.0	186.0	240.0	106.0	253.0	53.0	226.0	253.0	173.0	66.0	200.0	133.0	320.0	133.0	280.0	120.0	80.0	186.0	146.0	106.0	160.0	173.0	106.0	106.0	120.0	40.0	280.0	106.0	120.0	93.0	106.0	146.0	186.0	133.0	226.0	106.0	226.0	186.0	133.0	106.0	133.0	160.0	120.0	186.0	80.0	66.0	120.0	106.0	133.0	146.0	106.0	173.0	146.0	80.0	133.0	146.0	133.0	213.0	106.0	133.0	213.0	186.0	186.0	93.0	106.0	93.0	186.0	66.0	186.0	253.0	120.0	146.0	106.0	173.0	226.0	26.0	146.0	293.0	253.0	293.0	26.0	146.0	133.0	120.0	66.0	280.0	53.0	253.0	106.0	106.0	93.0	53.0	66.0	200.0	226.0	160.0	213.0	186.0	66.0	40.0	186.0	13.0	213.0	160.0	120.0	93.0	120.0	200.0	120.0	106.0	120.0	133.0	106.0	173.0	280.0	186.0	320.0	106.0	213.0	93.0	186.0	173.0	226.0	213.0	213.0	80.0	106.0	186.0	106.0	200.0	66.0	80.0	173.0	120.0	160.0	80.0	133.0	106.0	133.0	80.0	133.0	133.0	93.0	0.0	173.0	320.0	106.0	133.0	93.0	200.0	106.0	106.0	53.0	160.0	93.0	93.0	106.0	186.0	40.0	213.0	106.0	120.0	146.0	226.0	200.0	146.0	26.0	80.0	93.0	146.0	133.0	106.0	160.0	120.0	213.0	146.0	173.0	93.0	106.0	
231.0359	186.0	173.0	120.0	213.0	173.0	66.0	120.0	93.0	93.0	93.0	133.0	133.0	186.0	133.0	133.0	80.0	266.0	146.0	200.0	213.0	120.0	266.0	186.0	186.0	213.0	186.0	200.0	160.0	186.0	133.0	26.0	26.0	133.0	80.0	200.0	186.0	186.0	186.0	146.0	120.0	213.0	173.0	133.0	66.0	200.0	106.0	120.0	26.0	240.0	200.0	53.0	200.0	160.0	200.0	160.0	186.0	133.0	93.0	293.0	160.0	133.0	106.0	93.0	146.0	146.0	66.0	146.0	53.0	93.0	120.0	93.0	120.0	160.0	80.0	200.0	133.0	93.0	93.0	106.0	146.0	160.0	80.0	226.0	146.0	133.0	120.0	120.0	66.0	120.0	200.0	226.0	66.0	106.0	93.0	106.0	106.0	120.0	173.0	80.0	200.0	306.0	200.0	373.0	106.0	120.0	146.0	226.0	133.0	226.0	106.0	226.0	120.0	173.0	160.0	40.0	26.0	80.0	80.0	80.0	93.0	106.0	200.0	186.0	53.0	146.0	173.0	106.0	66.0	66.0	120.0	146.0	200.0	80.0	120.0	133.0	160.0	213.0	120.0	146.0	160.0	146.0	160.0	93.0	160.0	106.0	146.0	360.0	93.0	186.0	186.0	66.0	186.0	186.0	93.0	173.0	133.0	120.0	200.0	66.0	160.0	80.0	160.0	160.0	53.0	133.0	306.0	0.0	133.0	133.0	106.0	160.0	226.0	106.0	93.0	93.0	226.0	226.0	173.0	120.0	146.0	120.0	93.0	106.0	120.0	186.0	80.0	40.0	120.0	226.0	53.0	106.0	66.0	66.0	80.0	133.0	80.0	253.0	186.0	93.0	146.0	
231.0436	93.0	186.0	106.0	106.0	200.0	106.0	80.0	173.0	213.0	293.0	133.0	133.0	306.0	266.0	240.0	200.0	80.0	53.0	146.0	66.0	133.0	226.0	106.0	253.0	200.0	106.0	186.0	120.0	146.0	133.0	120.0	93.0	120.0	240.0	146.0	53.0	120.0	160.0	80.0	93.0	120.0	80.0	120.0	106.0	186.0	66.0	160.0	333.0	146.0	106.0	93.0	160.0	160.0	173.0	80.0	200.0	146.0	266.0	186.0	120.0	213.0	80.0	226.0	93.0	93.0	200.0	266.0	13.0	80.0	146.0	173.0	226.0	173.0	213.0	120.0	160.0	120.0	160.0	146.0	120.0	133.0	200.0	93.0	93.0	280.0	173.0	333.0	186.0	160.0	186.0	26.0	120.0	53.0	13.0	173.0	146.0	93.0	213.0	133.0	53.0	133.0	106.0	106.0	133.0	186.0	106.0	66.0	306.0	120.0	106.0	106.0	160.0	106.0	240.0	226.0	53.0	120.0	93.0	66.0	266.0	133.0	200.0	106.0	173.0	293.0	173.0	80.0	120.0	213.0	106.0	160.0	120.0	120.0	80.0	160.0	106.0	80.0	120.0	93.0	186.0	106.0	200.0	253.0	93.0	133.0	93.0	226.0	120.0	160.0	160.0	146.0	200.0	66.0	120.0	146.0	120.0	146.0	226.0	40.0	146.0	226.0	186.0	106.0	120.0	93.0	226.0	160.0	120.0	146.0	146.0	200.0	106.0	106.0	66.0	173.0	93.0	93.0	120.0	133.0	106.0	133.0	80.0	146.0	13.0	240.0	280.0	173.0	80.0	93.0	160.0	93.0	160.0	213.0	120.0	186.0	120.0	146.0	106.0	160.0	186.0	
